"fish_id","exp","holding_tank","acc_tank","chamber","fish_mort_resting","fish_mort_pcrit","equipment_failure_resting","posttrial_wet_weight_g","cf","hsi","l_perc_dw","t_perc_dw"
"FV106","group16","tank_1","tank_2","ch4","N","N","N",14,1.05184072126221,1.57246376811594,0.271889400921659,0.32716049382716
"FV107","group16","tank_1","tank_2","ch5","N","N","N",22.7,1.10819119276034,1.35159817351598,0.263513513513514,0.297101449275362
"FV108","group16","tank_1","tank_2","ch6","N","N","N",14.8,0.973124023999343,1.33793103448276,0.268041237113402,0.288389513108614
"FV109","group16","tank_1","tank_2","ch7","N","N","N",23.1,1.12771879087065,1.51101321585903,0.262390670553936,0.287096774193548
"FV110","group17","tank_2","tank_1","ch2","N","N","N",18,1.12386700157903,1.51123595505618,0.256505576208178,0.225419664268585
"FV111","group17","tank_2","tank_1","ch3","N","N","N",20.3,1.26747222955858,1.485,0.215488215488215,0.225589225589226
"FV112","group17","tank_2","tank_1","ch4","N","N","N",9.4,1.06246383101852,1.49462365591398,0.20863309352518,0.216216216216216
"FV113","group17","tank_2","tank_1","ch5","N","N","N",24.9,1.27488,1.55918367346939,0.230366492146597,0.228956228956229
"FV114","group17","tank_2","tank_1","ch6","N","N","N",22,1.09979323887109,1.76497695852535,0.224543080939948,0.252906976744186
"FV115","group17","tank_2","tank_1","ch7","N","N","N",15.6,1.20460622889526,1.4640522875817,0.214285714285714,0.260188087774295
"FV116","group17","tank_2","tank_1","ch8","N","N","N",20.5,1.18634259259259,1.69306930693069,0.230994152046784,0.220264317180617
"FV117","group18","tank_2","tank_3","ch1","N","N","N",19.6,1.05327247997842,1.7434554973822,0.246246246246246,0.245954692556634
"FV118","group18","tank_2","tank_3","ch3","N","N","N",16.8,1.13395214721939,2.11585365853659,0.247838616714697,0.260135135135135
"FV119","group18","tank_2","tank_3","ch4","N","N","N",15.5,1.04620585011313,1.72368421052632,0.270992366412214,0.23921568627451
"FV120","group18","tank_2","tank_3","ch5","N","N","N",19.5,1.10072416360487,1.41798941798942,0.26865671641791,0.240740740740741
"FV121","group18","tank_2","tank_3","ch6","N","N","N",24.9,1.21559298236707,1.54583333333333,0.245283018867925,0.232258064516129
"FV122","group18","tank_2","tank_3","ch7","N","N","N",21.4,1.23842592592593,1.53588516746411,0.246105919003115,0.236533957845433
"FV123","group18","tank_2","tank_3","ch8","Y","N","N",20.5,1.21650241905957,1.62051282051282,0.253164556962025,0.215456674473068
